title,排名,国家,州省,城市,性质,成立年份,宗教信仰,学生人数,学校分类,网址
西弗吉尼亚大学 ,187*(3),美国,西弗吉尼亚州,摩根敦,公立，男女合校,1867年*(1),无,"28,448",全国性大学,www.wvu.edu
欧道明大学 ,RNP*(3),美国,弗吉尼亚州,诺福克,公立，男女合校,1930年*(1),无,"24,672*(4)",全国性大学,www.odu.edu
蒙大拿大学 ,207*(2),美国,蒙大拿州,米苏拉,公立，男女合校,1893年*(1),无,"13,044",全国性大学,www.umt.edu
密苏里大学堪萨斯城分校 ,216,美国,密苏里州,堪萨斯城,公立，男女合校,1929,无,"16,699",综合性大学,www.umkc.edu
阿伯斯威大学 ,82,英国,威尔士,阿伯斯威,公立，男女合校,1872年,无,"11,705",综合性大学,www.aber.ac.uk
中国人民大学 ,,,,,,,,,,
班戈大学 ,56,英国,威尔士,班戈,公立，男女合校,1884年,无,"11,255",综合性大学,www.bangor.ac.uk
马里兰大学巴尔的摩郡分校 ,159*(2),美国,马里兰州,巴尔的摩,公立，男女合校,1966年*(1),无,"13,839",全国性大学,www.umbc.edu
维多利亚大学（澳洲） ,ERA：29*(4),澳大利亚,维多利亚州,墨尔本,公立，男女合校,1916年*(2),无,"48,922(其中高等教育26,743人，,职业教育,22,179人)*(4)(5)",一星级大学,www.vu.edu.au
赫特福德大学 ,96,英国,英格兰,哈特菲尔德,公立，男女合校,1953年,无,"27,230",综合性大学,www.herts.ac.uk
纽芬兰纪念大学 ,6,加拿大,纽芬兰与拉布拉多省,圣约翰,公立，男女合校,1925年,无,"18,913",综合类大学,www.mun.ca
犹他州立大学 ,216,美国,犹他州,洛根,公立，男女合校,1888,无,"28,622",综合性大学,www.usu.edu
伊利诺伊理工学院 ,103*(3),美国,伊利诺伊州,芝加哥,私立，男女合校,1890年*(1),无,"7,792",全国性大学,www.iit.edu*(7)
奥克兰理工大学 ,,新西兰,,奥克兰,公立，男女合校,1895年,无,"27,140",综合性大学,www.aut.ac.nz
舍布鲁克大学 ,15,加拿大,魁北克省,舍布鲁克、隆格伊,公立，男女合校,1954年,无,"35,000",医博类大学,www.usherbrooke.ca
电子科技大学 ,,,,,,,,,,
肯特大学 ,33,英国,英格兰,坎特伯雷,公立，男女合校,1965年,无,"20,310",综合性大学,www.kent.ac.uk
哈勒-维滕贝格大学 ,,德国,,哈勒,公立，男女合校,1502年*(1),无,"21,000(2013年)*(4)",综合性大学，可授予博士学位,www.uni-halle.de
朴茨茅斯大学 ,55,英国,英格兰,朴茨茅斯,公立，男女合校,1869年,无,"23,705",综合性大学,www.port.ac.uk
威廉玛丽学院 ,32*(2),美国,弗吉尼亚州,威廉斯堡,公立，男女合校,1693,无,"8,484*(2)",全国性大学,www.wm.edu
怀俄明大学 ,181*(2),美国,怀俄明州,拉勒米,公立，男女合校,1886年*(1),无,"12,648*(2)",全国性大学,www.uwyo.edu
路易维尔大学 ,165,美国,肯塔基州,路易维尔,公立，男女合校,1798,无,"21,295",综合性大学,www.louisville.edu
阿拉斯加大学费尔班克斯分校 ,207*(5),美国,阿拉斯加州,费尔班克斯,公立，男女合校,1917年*(1),无,"8,719*(3)",全国性大学,www.uaf.edu
肯特州立大学 ,176,美国,俄亥俄州,肯特,公立，男女合校,1910,无,"29,762",综合性大学,www.kent.edu
化学 ,,,,,,,,,,
杨百翰大学 ,USNEWS：61*(3),美国,犹他州,"普罗沃,（Provo，UT）",私立，男女合校*(4),1865,摩门,"33,469",全国性大学,"home.byu.edu,*(4)"
利物浦约翰摩尔斯大学 ,83,英国,英格兰,利物浦,公立，男女合校,1823年,无,"24,455",综合性大学,www.ljmu.ac.uk
克莱蒙森大学 ,67*(2),美国,南卡罗来纳州,克莱蒙森,公立，男女合校,1889*(1),无,"21,957*(3)(4)",全国性大学,www.clemson.edu
曼海姆大学 ,,德国,,曼海姆,公立，男女合校,1907年*(1),无,"12,151*(4)",综合性大学，可授予博士学位,www.uni-mannheim.de
汉诺威大学 ,,德国,,汉诺威,公立，男女合校,1831年*(1),无,"23,877(2014年)*(4)",综合性大学，可授予博士学位,www.uni-hannover.de
拜罗伊特大学 ,,德国,,拜罗伊特,公立，男女合校,1975年*(1),无,"13,470(2013年)*(1)",综合性大学，可授予博士学位,www.uni-bayreuth.de
上海大学 ,,,,,,,,,,
拉夫堡大学 ,21,英国,英格兰,拉夫堡,公立，男女合校,1909年,无,"16,025",综合性大学,www.lboro.ac.uk
湖南大学 ,,,,,,,,,,
圣路易斯大学 ,94*(3),美国,密苏里州,"圣路易斯,市",公立，男女合校,1818年*(1),天主,"12,914",全国性大学,"www.slu.edu,*(4)"
赫瑞瓦特大学 ,38,英国,苏格兰,爱丁堡,公立，男女合校,1821年,无,"10,870",综合性大学,www.hw.ac.uk
萨斯喀彻温大学 ,14,加拿大,萨斯喀彻温省,萨斯卡通,公立，男女合校,1907年,无,"19,468",医博类大学,www.usask.ca
罗斯托克大学 ,,德国,,罗斯托克,公立，男女合校,1962年*(1),无,"14,417(2014年)*(4)",综合性大学，可授予博士学位,www.uni-rostock.de
兰州大学 ,,,,,,,,,,
四川大学 ,,,,,,,,,,
马萨诸塞大学波士顿分校 ,202,美国,马萨诸塞州,波士顿,公立，男女合校,1964,无,"17,030",综合性大学,www.umb.edu
华东理工大学 ,,,,,,,,,,
华东师范大学 ,,,,,,,,,,
圣地亚哥州立大学 ,140*(2),美国,加利福尼亚州,圣地亚哥,公立，男女合校,1897年*(1),无,"34,254",全国性大学,www.sdsu.edu
卡尔顿大学 ,6,加拿大,安大略省,渥太华,公立，男女合校,1942年,无,"26,769",综合类大学,www.carleton.ca
比勒费尔德大学 ,,德国,,比勒费尔德,公立，男女合校,1969年*(1),无,"19,666(2013年)*(4)",综合性大学，可授予博士学位,www.uni-bielefeld.de
华中师范大学 ,,,,,,,,,,
中佛罗里达大学 ,171,美国,佛罗里达州,奥兰多,公立，男女合校,1963,无,"63,002",综合性大学,www.ucf.edu
威斯康辛大学密尔沃基分校 ,RNP,美国,威斯康辛州,密尔沃基,公立，男女合校,1956,无,-,综合性大学,www.uwm.edu
斯旺西大学 ,47,英国,威尔士,斯旺西,公立，男女合校,1920年,无,"14,770",综合性大学,www.swan.ac.uk
斯凯莱德大学 ,42,英国,苏格兰,格拉斯哥,公立，男女合校,1796年,无,"19,755",综合性大学,www.strath.ac.uk
埃塞克斯大学 ,QS世界：42(370)；Times国内：39*(1),英国*(2),"苏格兰,*(2)","科尔切斯特,*(2)",公立，男女合校,1963年*(2),无,"13,980（全日制与非全日制）*(3)","1994集团,*(5)",www.essex.ac.uk
北京理工大学 ,,,,,,,,,,
中国农业大学 ,,,,,,,,,,
首府大学 ,USNEWS: 34*(3),美国,俄亥俄州,哥伦布,私立，男女合校,1830 *(2),,"3,465","中西部,地方性大学",www.capital.edu
新罕布什尔大学 ,USNEWS：103*(2),美国,新罕布什尔州,达勒姆,公立，男女合校*(3),1866,无,"15,398",全国性大学,www.unh.edu *(3)
康斯坦茨大学 ,,德国,,康斯坦次,公立，男女合校,1966年*(1),无,"11,337(2012年)*(1)",综合性大学，可授予博士学位,www.uni-konstanz.de
苏州大学 ,,,,,,,,,,
默多克大学 ,ERA：23*(3),澳大利亚,西澳大利亚州,"珀斯,（Perth）*(1) ",公立，男女合校*(1),1975年*(1),无,"22,000（其中海外学习的学生为8,000名）*(5)",三星级大学,www.murdoch.edu.au
德州理工大学 ,176*(2),美国,德克萨斯州,卢布克,公立，男女合校,1923*(1),无,"35,859*(3)",综合性大学,www.ttu.edu
俄克拉荷马州立大学 ,156,美国,俄克拉荷马州,"静水市（音译：,斯蒂尔沃特,）*(1)",公立，男女合校*(3),1890*(1),无,"25,806*(3)",全国性大学,www.okstate.edu
坦佩（亚利桑那州） ,,美国,亚利桑那州,,,,,,,
德克萨斯大学阿灵顿分校 ,RNP,美国,德克萨斯州,阿灵顿,公立，男女合校,1895,无,-,综合性大学,www.uta.edu
天津大学 ,,,,,,,,,,
不来梅大学 ,,德国,,不来梅,公立，男女合校,1584年*(1),无,"20,000(2013年)*(4)",综合性大学，可授予博士学位,www.uni-bremen.de
佐治亚州立大学 ,USNEWS：223*(2),美国,佐治亚州,亚特兰大,公立，男女合校*(4),1913,,"32,080",全国性大学,www.gsu.edu
梅西大学 ,,新西兰,,"北,帕默斯顿,、,奥克兰,、,惠灵顿",公立，男女合校,1927年,无,"33,904",综合性大学,www.massey.ac.nz
伦敦商学院 ,,,,,,,,,,
吉林大学 ,,,,,,,,,,
惠灵顿维多利亚大学 ,,新西兰,,惠灵顿,公立，男女合校,1897年,无,"22,234",综合性大学,www.victoria.ac.nz
德克萨斯大学安东尼奥分校 ,RNP,美国,德克萨斯,安东尼奥,公立，男女合校,1969,无,"28,787",综合性大学,www.utsa.edu
伍斯特（马萨诸塞州） ,,美国,马萨诸塞州,,,,,,,
中南大学 ,,,,,,,,,,
萨尔大学 ,,德国,,萨尔布吕肯,公立，男女合校,1948年*(1),无,"18,492(2013年)*(6)",综合性大学，可授予博士学位,www.uni-saarland.de
南卫理公会大学 ,61*(9),美国,德克萨斯州,达拉斯,私立，男女合校,1911*(1),卫理公会,"11,643",全国性大学,www.smu.edu
北京航空航天大学 ,,,,,,,,,,
斯图加特大学 ,,德国,,斯图加特,公立，男女合校,1829年*(1),无,"22,600(2011年)*(4)",综合性大学，可授予博士学位,www.uni-stuttgart.de
阿拉巴马大学 ,110*(2),美国,阿拉巴马州,塔斯卡卢萨,公立，男女合校,1831*(1),无,"37,100",全国性大学,www.ua.edu
佛蒙特大学 ,USNEWS：97*(2),美国,佛蒙特州,伯灵顿,公立，男女合校*(3),1791,无,"11,923",全国性大学,"www.uvm.edu, *(3)"
大连理工大学 ,,,,,,,,,,
普利茅斯大学 ,73,英国,英格兰,普利茅斯,公立，男女合校,1862年,无,"31,105",综合性大学,www.plymouth.ac.uk
杜兰大学 ,USNEWS：40*(3),美国,路易斯安那州,"新奥尔良,市",私立，男女合校*(4),1834,,"13,449*(6)",全国性大学,tulane.edu
莫斯科（爱达荷州） ,,美国,爱达荷州,,,,,,,
波茨坦大学 ,,德国,,波茨坦,公立，男女合校,1991年*(1),无,"19,972(2014年)*(4)",综合性大学，可授予博士学位,www.uni-potsdam.de
科罗拉多矿业学院 ,75*(2),美国,科罗拉多州,戈尔登,公立，男女合校,1873-1874年*(1),无,"5,518（不含Part-time）；5,924（含Part-time）",全国性大学,www.mines.edu
贵湖大学 ,5,加拿大,安大略省,贵湖,公立，男女合校,1964年,无,"21,915",综合类大学,www.uoguelph.ca
乔治梅森大学 ,140*(3),美国,弗吉尼亚州,费尔法克斯,公立，男女合校,1972,无,"33,925",全国性大学,https://www2.gmu.edu*(4)
达姆施塔特工业大学 ,,德国,,达姆施塔特,公立，男女合校,1877年*(1),无,"25,100(2014年)*(4)",综合性大学，可授予博士学位,www.tu-darmstadt.de
拉筹伯大学 ,ERA：20*(4),澳大利亚,维多利亚州,墨尔本,公立，男女合校,1967年*(2),无,"35,073(含非全日制及无学位项目学生)*(5)",三星或四星级大学,www.latrobe.edu.au
马尔堡大学 ,,德国,,马尔堡,公立，男女合校,1527年*(1),无,"25,700*(4)",综合性大学，可授予博士学位,www.uni-mannheim.de
雷根斯堡大学 ,,德国,,雷根斯堡,公立，男女合校,1962年*(1),无,"17,320*(1)",综合性大学，可授予博士学位,www.uni-regensburg.de
伦斯勒理工学院 ,42*(3),美国,纽约州,特洛伊,私立，男女合校,1824*(1),无,"7,113",全国性大学,www.rpi.edu
布鲁内尔大学 ,46,英国,英格兰,阿克斯布里奇,公立，男女合校,1966年,无,"15,885",综合性大学,www.brunel.ac.uk
佛罗里达国际大学 ,216,美国,佛罗里达州,迈阿密,公立，男女合校,1965,无,"49,892",综合性大学,www.fiu.edu
萨里大学 ,12,英国,英格兰,吉尔福德,公立，男女合校,1891年,无,"15,055",综合性大学,www.surrey.ac.uk
圣地亚哥大学 ,90*(3),美国,加州,圣地亚哥,私立，男女合校,1949,罗马天主,"8,251",全国性大学,www.sandiego.edu
多特蒙德工业大学 ,,德国,,多特蒙德,公立，男女合校,1968年*(1),无,"27,010(2012年)*(4)",综合性大学，可授予博士学位,www.uni-dortmund.de
巴斯（英格兰） ,,英国,,,,,,,,
曼尼托巴大学 ,16,加拿大,曼尼托巴省,温尼伯格,公立，男女合校,1877年,无,"28,335",医博类大学,umanitoba.ca
波士顿学院 ,32*(3),美国,马萨诸塞州,"栗树山, *(2)",私立，男女合校,1863,天主教 *(1),"13,705",全国性大学,www.bc.edu
密西西比大学 ,32*(4),美国,密西西比州,牛津,公立，男女合校,1848年*(1),无,"23,212",全国性大学,www.olemiss.edu
华南理工大学 ,,,,,,,,,,
斯威本科技大学 ,ERA：15*(2),澳大利亚,维多利亚州,墨尔本,公立，男女合校,1908年*(1),无,"20,864（EFTSL，未计TAFE）*(3)",三星级大学,www.swinburne.edu.au
莱德大学 ,34*(3),美国,新泽西州,"劳伦斯,维尔",私立，男女合校,1865 *(2),无,"5,075","北部,地方性大学",www.rider.edu
山东大学 ,,,,,,,,,,
中国地质大学 ,,,,,,,,,,
德雷塞尔大学 ,94*(2),美国,宾夕法尼亚州,费城,私立，男女合校,1891*(1),无,"26,359*(3)",全国性大学,www.drexel.edu
东南大学 ,,,,,,,,,,
约克大学（加拿大） ,8,加拿大,安大略省,多伦多,公立，男女合校,1959年,无,"52,030",综合类大学,www.yorku.ca
皇家墨尔本理工大学 ,ERA：16*(3),澳大利亚,维多利亚州,"墨尔本,（Melbourne）",公立，男女合校,1887年*(2),无,"74,000*(2)",四星级大学,www.rmit.edu.au
西安交通大学 ,,,,,,,,,,
休斯敦大学 ,USNEWS：192*(2),美国,德克萨斯州,休斯敦,公立，男女合校*(3),1927,无,"42,704",全国性大学,www.uh.edu *(3)
堪萨斯州立大学 ,USNEWS：145*(3),美国,堪萨斯州,曼哈顿,公立，男女合校*(4),1863,无,"24,146",全国性大学,www.k-state.edu *(4)
弗吉尼亚联邦大学 ,171*(6),美国,弗吉尼亚州,里士满,公立，男女合校,1838年*(1),无,"31,242*(2)",全国性大学,www.vcu.edu
佛林德斯大学 ,ERA：28*(2),澳大利亚,南澳大利亚州,"阿德雷德,（Adelaide）",公立，男女合校,1866年*(1),无,"24,537*(6)",四星级大学,www.flinders.edu.au
夏威夷大学马诺阿分校 ,159*(4),美国,夏威夷州,檀香山,公立，男女合校,1907年*(1),无,"18,865",全国性大学,www.manoa.hawaii.edu
皇后大学 ,4,加拿大,安大略,金斯顿,公立，男女合校,1841年,无,"18,531",医博类大学,www.queensu.ca
天普大学 ,115*(2),美国,宾夕法尼亚州,费城,公立，男女合校,1884年*(1),无,"38,027",全国性大学,www.temple.edu
早稻田大学 ,,,,,,,,,,
吉森大学 ,,德国,,吉森,公立，男女合校,1607年*(1),无,"26,500(2014年)*(4)",综合性大学，可授予博士学位,www.uni-giessen.de
莱比锡大学 ,,德国,,莱比锡,公立，男女合校,1409年*(1),无,"28,125 *(1)",综合性大学，可授予博士学位,www.uni-leipzig.de
南澳大学 ,ERA：14*(2),澳大利亚,南澳大利亚州,阿德雷德,公立，男女合校,1874年*(3),无,"33,549（含非全日制学生及海外学生）*(4)",三星或四星级大学,www.unisa.edu.au
波鸿大学 ,,德国,,波鸿,公立，男女合校,1962年*(1),无,"41,456(2013年)*(4)",综合性大学，可授予博士学位,www.ruhr-uni-bochum.de
汉诺威医学院 ,,德国,,汉诺威,公立，男女合校,1965年*(1),无,"2,688(2014年)*(1)",医科大学，可授予博士学位,www.mh-hannover.de
厦门大学 ,,,,,,,,,,
雪城大学 ,USNEWS：61*(3),美国,纽约州,锡拉丘兹,私立，男女合校*(4),1870,,"21,789",全国性大学,www.syr.edu
耶拿大学 ,,德国,,耶拿,公立，男女合校,1558年*(1),无,"21,195*(1)",综合性大学，可授予博士学位,www.uni-jena.de
巴斯大学 ,QS:179 (Times:7),英国*(1),英格兰,巴斯,公立，男女合校,1966年*(1),无,"15,155（含全日制与非全日制）*(2)",综合性大学,
路易斯安那州立大学 ,133*(4),美国,路易斯安那州,巴吞鲁日,公立，男女合校,1860年*(1),无,"31,524",全国性大学,www.lsu.edu
科罗拉多大学丹佛分校 ,207*(1),美国,科罗拉多州,丹佛,公立，男女合校,1912,无,"22,791",综合性大学,www.ucdenver.edu*(4)
华盛顿州立大学 ,USNEWS：140*(3),美国,华盛顿州,普尔曼,公立，男女合校*(4),1890,无,"29,686",全国性大学,www.wsu.edu*(4)
南开大学 ,,,,,,,,,,
密苏里大学 ,USNEWS：120*(6),美国,密苏里州,哥伦比亚,公立，男女合校*(3),1839,无,"35,448",全国性大学,www.missouri.edu *(7)
筑波大学 ,,,,,,,,,,
戴尔豪斯大学 ,7,加拿大,新斯科舍,"哈利法克斯,市、特鲁罗镇",公立，男女合校,1818年,无,"18,354",医博类大学,www.dal.ca
同济大学 ,,,,,,,,,,
杜塞尔多夫大学 ,,德国,,杜塞尔多夫,公立，男女合校,1965年*(1),无,"20,515(2012年)*(1)",综合性大学，可授予博士学位,www.uni-duesseldorf.de
西悉尼大学 ,ERA：19*(1),澳大利亚,"新南威尔士州,*(2)","悉尼,*(2)",公立，男女合校*(2),1989年*(2),无,"42,000*(3)",二星级大学,
俄克拉荷马大学 ,97*(3),美国,俄克拉荷马州,诺曼,公立，男女合校,1890,无,"30,747",全国性大学,www.ou.edu
北京师范大学 ,,,,,,,,,,
武汉大学 ,,,,,,,,,,
肯塔基大学 ,133*(2),美国,肯塔基州,列克星敦,公立，男女合校,1865年*(1),无,-,全国性大学,www.uky.edu
九州大学 ,,,,,,,,,,
坎特伯雷大学（新西兰） ,,新西兰,,基督城,公立，男女合校,1873年,无,"15,608",综合性大学,www.canterbury.ac.nz
贝勒大学 ,USNEWS：75*(2),美国,德克萨斯州,韦科,私立，男女合校*(3),1845,浸信会,"16,787*(3)",全国性大学,www.baylor.edu
维克森林大学 ,USNEWS：27*(3),美国,北卡罗来纳州,温斯顿-塞纳姆,私立，男女合校*(4),1834,,"7,837",全国性大学,www.wfu.edu
南卡罗来纳大学 ,103*(3),美国,南卡罗来纳州,哥伦比亚,公立，男女合校,1801年*(1),无,-,全国性大学,www.sc.edu
纽约州立大学阿尔巴尼分校 ,151*(2),美国,纽约州,阿尔巴尼,公立，男女合校,1844*(1),无,"17,178",全国性大学,www.albany.edu
康涅狄格大学 ,56*(2),美国,康涅狄格州,斯托尔斯,公立，男女合校,1881*(1),无,"26,541",全国性大学,www.uconn.edu
印第安纳普渡大学 ,192,美国,印第安纳州,印第安纳波利斯,公立，男女合校,1969,无,"30,105",综合性大学,www.iupui.edu
哈尔滨工业大学 ,,,,,,,,,,
柏林工业大学 ,,德国,,柏林,公立，男女合校,1770年*(1),无,"30,684(2013年)*(4)",综合性大学，可授予博士学位,www.tu-berlin.de
伦敦大学皇家霍洛威学院 ,28,英国,英格兰,伦敦,公立，男女合校,1849年,无,"9,865",综合性大学,www.rhul.ac.uk
拉瓦尔大学 ,10,加拿大,魁北克省,魁北克城,公立，男女合校,1663年,无,"37,591",医博类大学,www.ulaval.ca
韦恩州立大学 ,223*(2),美国,密歇根州,底特律,公立，男女合校,1868年*(1),无,"27,222",全国性大学,www.wayne.edu
贝尔法斯特女王大学 ,29,英国,北爱尔兰,贝尔法斯特,公立，男女合校,1849年,无,"22,985",综合性大学,www.qub.ac.uk
杜伊斯堡-埃森大学 ,,德国,,杜伊斯堡、埃森,公立，男女合校,1654年*(1),无,"38,986(2013年)*(5)",综合性大学，可授予博士学位,www.uni-duisburg-essen.de
乌尔姆大学 ,,德国,,乌尔姆,公立，男女合校,1967年*(1),无,"9,188(2013年)*(4)",综合性大学，可授予博士学位,www.uni-ulm.de
西门菲莎大学 ,1,加拿大,英属哥伦比亚省,本那比,公立，男女合校,1965年,无,"35,604",综合类大学,www.sfu.ca
华中科技大学 ,,,,,,,,,,
塔斯马尼亚大学 ,ERA：11*(1),澳大利亚,塔斯马尼亚,"霍巴特,*(2)",公立，男女合校*(2),1890年*(2),无,"26,783*(2)",四星级大学,www.utas.edu.au*(2)
维多利亚大学 ,2,加拿大,英属哥伦比亚省,维多利亚,公立，男女合校,1963年,无,"22,405",综合类大学,www.uvic.ca
特拉华大学 ,81*(2),美国,特拉华州,纽华克,公私立兼有，男女合校,1743*(1),无,"22,074",全国性大学,www.udel.edu
南佛罗里达大学 ,140*(2),美国,佛罗里达州,坦帕,公立，男女合校,1956年*(1),无,"42,132",全国性大学,www.usf.edu
纽卡斯尔大学（澳洲） ,ERA：13*(1),澳大利亚*(2),新南威尔士州,纽卡斯尔*(2),公立，男女合校,1965年*(2),无,"35,998（其他学生人数：4,597）*(2)",四星级大学,www.newcastle.edu.au
卧龙岗大学 ,ERA：9*(2),澳大利亚,新南威尔士州,"卧龙岗,（Wollongong）",公立，男女合校,1951年*(1),无,"28,964（2012年统计数据）",四星级大学,www.uow.edu.au
乔治敦大学 ,20*(2),美国,"哥伦比亚,特区",华盛顿,公立，男女合校,1789*(1),耶稣会（罗马天主教）,"18,459",全国性大学,www.georgetown.edu
西安大略大学 ,8,加拿大,安大略省,"伦敦,市",公立，男女合校,1878年,无,"27,525",医博类大学,www.uwo.ca
内布拉斯加大学林肯分校 ,124*(3),美国,内布拉斯加州,林肯,公立，男女合校,1869年*(1),无,"25,260",全国性大学,www.unl.edu
俄勒冈大学 ,USNEWS：103*(2),美国,俄勒冈州,尤金,私立，男女合校*(3),1876,无,"24,032",全国性大学,www.uoregon.edu*(3)
佐治亚大学 ,54*(2),美国,佐治亚州,"阿森斯,（Athens,GA）",公立，男女合校,1785*(1),无,"36,130*(3)",全国性大学,www.uga.edu
